Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Correspondence Address,Publisher
"Nunes P.F., Ostan I., Siqueira A.A.G.","56890685900;57219801717;7003788864;","Evaluation of Motor Primitive-Based Adaptive Control for Lower Limb Exoskeletons",2020,"Frontiers in Robotics and AI","7",, 575217,"","",,,"10.3389/frobt.2020.575217","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098522070&doi=10.3389%2ffrobt.2020.575217&partnerID=40&md5=2742478b1f44196b66cd6470f3a02407","Rehabilitation Robotics Laboratory, Department of Mechanical Engineering, São Carlos School of Engineering, University of São Paulo, São Carlos, Brazil","Nunes, P.F., Rehabilitation Robotics Laboratory, Department of Mechanical Engineering, São Carlos School of Engineering, University of São Paulo, São Carlos, Brazil; Ostan, I., Rehabilitation Robotics Laboratory, Department of Mechanical Engineering, São Carlos School of Engineering, University of São Paulo, São Carlos, Brazil; Siqueira, A.A.G., Rehabilitation Robotics Laboratory, Department of Mechanical Engineering, São Carlos School of Engineering, University of São Paulo, São Carlos, Brazil","biomechatronics; exoskeleton; lower limbs; motor primitives; rehabilitation robotics",,"Fundação de Amparo à Pesquisa do Estado de São Paulo

Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","This work was financed in part by the Coordenação de Aperfeiçoamento de Pessoal de Nível Superior—Brazil (CAPES)—Finance Code 001, Support Program for Graduate Studies and Scientific and Technological Research for Assistive Technology in Brazil (PGPTA), under grant 3457/2014, and São Paulo Research Foundation (FAPESP) under grant 2019/05937-7.","Funding. This work was financed in part by the Coordena??o de Aperfei?oamento de Pessoal de N?vel Superior?Brazil (CAPES)?Finance Code 001, Support Program for Graduate Studies and Scientific and Technological Research for Assistive Technology in Brazil (PGPTA), under grant 3457/2014, and S?o Paulo Research Foundation (FAPESP) under grant 2019/05937-7.",,"Nunes, P.F.; Rehabilitation Robotics Laboratory, Brazil; email: polyananunes@usp.br","Frontiers Media S.A."
"Zhang Z., Liao J., Zhao J., Wang L.","56725003500;57218449216;57129187500;57221637213;","Integration Design Method of Configuration and Dimension for One DOF Eight-bar Bio-inspired Mechanism [单自由度八杆仿生机构构型与尺度同步设计方法]",2020,"Jixie Gongcheng Xuebao/Journal of Mechanical Engineering","56","23",,"58","66",,,"10.3901/JME.2020.23.058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099663351&doi=10.3901%2fJME.2020.23.058&partnerID=40&md5=b7288ab3695ce7958700ed0866a1a82b","Faculty of Materials and Manufacturing, Beijing University of Technology, Beijing, 100124, China","Zhang, Z., Faculty of Materials and Manufacturing, Beijing University of Technology, Beijing, 100124, China; Liao, J., Faculty of Materials and Manufacturing, Beijing University of Technology, Beijing, 100124, China; Zhao, J., Faculty of Materials and Manufacturing, Beijing University of Technology, Beijing, 100124, China; Wang, L., Faculty of Materials and Manufacturing, Beijing University of Technology, Beijing, 100124, China","Bio-inspired mechanism; Design method; Eight-bar mechanism; Integration of configuration and dimension; One DOF","Biomimetics; Integration; Kinematics; Basic kinematic chain; Bio-inspired robots; Constraint conditions; Design efficiency; Initial conditions; Initial configuration; Integration design; Shape constraints; Machine design",,,,,"Zhao, J.; Faculty of Materials and Manufacturing, China; email: zhaojing@bjut.edu.cn","Chinese Mechanical Engineering Society"
"Bonzon P.","6602380487;","Modeling the Synchronization of Multimodal Perceptions as a Basis for the Emergence of Deterministic Behaviors",2020,"Frontiers in Neurorobotics","14",, 570358,"","",,,"10.3389/fnbot.2020.570358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097801096&doi=10.3389%2ffnbot.2020.570358&partnerID=40&md5=7863c20809d1a284fb225f912d8cd0f7","Department of Information Systems, Faculty of Economics, University of Lausanne, Lausanne, Switzerland","Bonzon, P., Department of Information Systems, Faculty of Economics, University of Lausanne, Lausanne, Switzerland","behavioral learning; developmental cognition; neural circuit; synchronized perceptions; virtual machine","Biology; Decision trees; Software engineering; Stochastic systems; Deterministic behavior; Living organisms; Multimodal perception; Neuronal circuits; Random searches; Synaptic plasticity; Thought experiments; Wired connection; Biomimetics; article; artifact; controlled study; decision tree; human; human experiment; learning; nerve cell plasticity; perception; simulation; software; stochastic model",,,,,"Bonzon, P.; Department of Information Systems, Switzerland; email: pierre.bonzon@unil.ch","Frontiers Media S.A."
"Melchiorre L., Marasco I., Niro G., Basile V., Marrocco V., D’orazio A., Grande M.","57222498750;57216460799;57216456218;56646138000;6507904625;7004418223;24467918300;","Bio-inspired dielectric resonator antenna for wideband sub-6 GHz range",2020,"Applied Sciences (Switzerland)","10","24", 8826,"1","13",,,"10.3390/app10248826","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102907205&doi=10.3390%2fapp10248826&partnerID=40&md5=da402014abb326595cc24d4363e90555","Politecnico di Bari, Dipartimento di Ingegneria Elettrica e dell’Informazione, Via E. Orabona 4, Bari, 70125, Italy; STIIMA CNR, Institute of Intelligent Industrial Technologies and Systems for Advanced Manufacturing, National Research Council, Via P. Lembo, 38/F, Bari, 70124, Italy","Melchiorre, L., Politecnico di Bari, Dipartimento di Ingegneria Elettrica e dell’Informazione, Via E. Orabona 4, Bari, 70125, Italy; Marasco, I., Politecnico di Bari, Dipartimento di Ingegneria Elettrica e dell’Informazione, Via E. Orabona 4, Bari, 70125, Italy; Niro, G., Politecnico di Bari, Dipartimento di Ingegneria Elettrica e dell’Informazione, Via E. Orabona 4, Bari, 70125, Italy; Basile, V., STIIMA CNR, Institute of Intelligent Industrial Technologies and Systems for Advanced Manufacturing, National Research Council, Via P. Lembo, 38/F, Bari, 70124, Italy; Marrocco, V., STIIMA CNR, Institute of Intelligent Industrial Technologies and Systems for Advanced Manufacturing, National Research Council, Via P. Lembo, 38/F, Bari, 70124, Italy; D’orazio, A., Politecnico di Bari, Dipartimento di Ingegneria Elettrica e dell’Informazione, Via E. Orabona 4, Bari, 70125, Italy; Grande, M., Politecnico di Bari, Dipartimento di Ingegneria Elettrica e dell’Informazione, Via E. Orabona 4, Bari, 70125, Italy","Bio-inspiration; Dielectric resonator antennas; Gielis’ superformula; Wideband sub-6 GHz applications",,,,,,"Marasco, I.; Politecnico di Bari, Via E. Orabona 4, Italy; email: ilaria.marasco@poliba.it
Grande, M.; Politecnico di Bari, Via E. Orabona 4, Italy; email: marco.grande@poliba.it","MDPI AG"
"Peyrottes A., Coquant G., Brot L., Rainteau D., Seksik P., Grill J.-P., Mallet J.-M.","57220745133;57218923052;57188856100;6602670512;6603793800;7005802271;35516137100;","Anti-inflammatory effects of analogues of N-acyl homoserine lactones on eukaryotic cells",2020,"International Journal of Molecular Sciences","21","24", 9448,"1","19",,,"10.3390/ijms21249448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097539529&doi=10.3390%2fijms21249448&partnerID=40&md5=977fe0c9b43984c92012f88e30d0b2f6","Laboratoire des Biomolécules(LBM), Département de chimie, École Normale Supérieure, PSL University, Sorbonne Université, CNRS, Paris, 75005, France; INSERM, Centre de Recherche Saint-Antoine, APHP, Hôpital Saint-Antoine, Microbiote Intestin et Inflammation, Sorbonne Université, Paris, 75005, France; Service de Gastroentérologie et Nutrition, Hôpital Saint-Antoine, APHP, Paris, 75012, France","Peyrottes, A., Laboratoire des Biomolécules(LBM), Département de chimie, École Normale Supérieure, PSL University, Sorbonne Université, CNRS, Paris, 75005, France, INSERM, Centre de Recherche Saint-Antoine, APHP, Hôpital Saint-Antoine, Microbiote Intestin et Inflammation, Sorbonne Université, Paris, 75005, France; Coquant, G., INSERM, Centre de Recherche Saint-Antoine, APHP, Hôpital Saint-Antoine, Microbiote Intestin et Inflammation, Sorbonne Université, Paris, 75005, France; Brot, L., INSERM, Centre de Recherche Saint-Antoine, APHP, Hôpital Saint-Antoine, Microbiote Intestin et Inflammation, Sorbonne Université, Paris, 75005, France; Rainteau, D., INSERM, Centre de Recherche Saint-Antoine, APHP, Hôpital Saint-Antoine, Microbiote Intestin et Inflammation, Sorbonne Université, Paris, 75005, France; Seksik, P., INSERM, Centre de Recherche Saint-Antoine, APHP, Hôpital Saint-Antoine, Microbiote Intestin et Inflammation, Sorbonne Université, Paris, 75005, France, Service de Gastroentérologie et Nutrition, Hôpital Saint-Antoine, APHP, Paris, 75012, France; Grill, J.-P., INSERM, Centre de Recherche Saint-Antoine, APHP, Hôpital Saint-Antoine, Microbiote Intestin et Inflammation, Sorbonne Université, Paris, 75005, France; Mallet, J.-M., Laboratoire des Biomolécules(LBM), Département de chimie, École Normale Supérieure, PSL University, Sorbonne Université, CNRS, Paris, 75005, France","AHL; Gut microbiota; Inflammatory bowel disease","2 pyrrolidone derivative; antiinflammatory agent; gamma butyrolactone derivative; tetramic acid; analysis of variance; animal; chemistry; drug effect; inflammatory bowel disease; intestine flora; microbiology; mouse; RAW 264.7 cell line; Acyl-Butyrolactones; Analysis of Variance; Animals; Anti-Inflammatory Agents; Gastrointestinal Microbiome; Inflammatory Bowel Diseases; Mice; Pyrrolidinones; RAW 264.7 Cells","Pfizer

Janssen Biotech

AbbVie

Takeda Canada

Fondation pour la Recherche Médicale

Astellas Pharma

Association Francois Aupetit

Sorbonne Université","This research was funded by Fondation pour la Recherche M?dicale, grant number EQU202003010171 and by Association Fran?ois Aupetit (projects research on AHLs 2013 and 2019). A. Peyrottes was the recipient of a fellowship from Sorbonne University IPV (Interface pour le vivant) program and G. Coquant was the recipient of a fellowship from Fondation pour la Recherche M?dical FRM ECO201806006843.","Conflicts of Interest: P.S. declares consulting fees from Abbvie, Takeda, Merck-MSD, Pfizer, Astellas, Janssen, and Biocodex and grants from Biocodex and Janssen. COI are not related with the present work. A.P., G.C., L.B., D.R., J.-P.G., and J.-M.M. declare no conflict of interest. The funders had no role in the design of the study; in the collection, analyses, or interpretation of data; in the writing of the manuscript, or in the decision to publish the results.","Funding: This research was funded by Fondation pour la Recherche Médicale, grant number EQU202003010171 and by Association François Aupetit (projects research on AHLs 2013 and 2019). A. Peyrottes was the recipient of a fellowship from Sorbonne University IPV (Interface pour le vivant) program and G. Coquant was the recipient of a fellowship from Fondation pour la Recherche Médical FRM ECO201806006843.","Seksik, P.; INSERM, France; email: philippe.seksik@sat.aphp.fr
Seksik, P.; Service de Gastroentérologie et Nutrition, France; email: philippe.seksik@sat.aphp.fr","MDPI AG"
"Yadav A., Vishwakarma D.K.","57202991991;56711360100;","A comparative study on bio-inspired algorithms for sentiment analysis",2020,"Cluster Computing","23","4",,"2969","2989",,7,"10.1007/s10586-020-03062-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078980233&doi=10.1007%2fs10586-020-03062-w&partnerID=40&md5=adab9caf6f0c38584accdebd445edf1d","Biometric Research Laboratory, Department of Information Technology, Delhi Technological University, New Delhi, 110042, India","Yadav, A., Biometric Research Laboratory, Department of Information Technology, Delhi Technological University, New Delhi, 110042, India; Vishwakarma, D.K., Biometric Research Laboratory, Department of Information Technology, Delhi Technological University, New Delhi, 110042, India","Data mining; Evolutionary computing; Optimization; Review; Sentiment analysis","Biomimetics; Optimization; Reviews; Sentiment analysis; Swarm intelligence; Bio-inspired algorithms; Comparative studies; Emerging topics; Evolutionary computing; Nature inspired algorithms; Research gaps; State of the art; Unsupervised machine learning; Data mining",,,,,"Vishwakarma, D.K.; Biometric Research Laboratory, India; email: dvishwakarma@gmail.com","Springer"
"Masdari M., Gharehpasha S., Ghobaei-Arani M., Ghasemi V.","55206798900;57212409662;57189577393;57212406358;","Bio-inspired virtual machine placement schemes in cloud computing environment: taxonomy, review, and future research directions",2020,"Cluster Computing","23","4",,"2533","2563",,6,"10.1007/s10586-019-03026-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076614391&doi=10.1007%2fs10586-019-03026-9&partnerID=40&md5=09be6c30fdc6632743cc16bb574aae9c","Department of Computer Engineering, Urmia Branch, Islamic Azad University, Urmia, Iran; Department of Computer Engineering, Qom Branch, Islamic Azad University, Qom, Iran","Masdari, M., Department of Computer Engineering, Urmia Branch, Islamic Azad University, Urmia, Iran; Gharehpasha, S., Department of Computer Engineering, Urmia Branch, Islamic Azad University, Urmia, Iran; Ghobaei-Arani, M., Department of Computer Engineering, Qom Branch, Islamic Azad University, Qom, Iran; Ghasemi, V., Department of Computer Engineering, Urmia Branch, Islamic Azad University, Urmia, Iran","Cloud computing; Data centers; Energy efficiency; Optimization; VM migration; VMP","Biomimetics; Cloud computing; Energy efficiency; Network security; Optimization; Quality of service; Taxonomies; Virtual machine; Bio-inspired optimizations; Cloud computing environments; Data centers; Future research directions; Optimization algorithms; User-specified constraints; Virtual machine placements; Vm migrations; Green computing",,,,,"Ghobaei-Arani, M.; Department of Computer Engineering, Iran; email: m.ghobaei@qom-iau.ac.ir","Springer"
"Alexander I., Daniel C., Paúl A., Diego A.-A.","57189041773;57219558331;57219559824;55571391400;","Performance analysis of optimized controllers with bio-inspired algorithms",2020,"Bulletin of Electrical Engineering and Informatics","9","6",,"2507","2517",,,"10.11591/eei.v9i6.2619","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093907479&doi=10.11591%2feei.v9i6.2619&partnerID=40&md5=5a14d095f7efdeb019c618aa5c5bd88d","Department of Electrical, Electronic and Telecommunication Engineering, Universidad de las Fuerzas Armadas-ESPE, Ecuador","Alexander, I., Department of Electrical, Electronic and Telecommunication Engineering, Universidad de las Fuerzas Armadas-ESPE, Ecuador; Daniel, C., Department of Electrical, Electronic and Telecommunication Engineering, Universidad de las Fuerzas Armadas-ESPE, Ecuador; Paúl, A., Department of Electrical, Electronic and Telecommunication Engineering, Universidad de las Fuerzas Armadas-ESPE, Ecuador; Diego, A.-A., Department of Electrical, Electronic and Telecommunication Engineering, Universidad de las Fuerzas Armadas-ESPE, Ecuador","Bio-inspired algorithm; Chromosomes; Controllers; Genetic algorithm; Intelligence algorithm; PID controller",,"Universidad de las Fuerzas Armadas ESPE","This work is part of the project 2019-PIC-003-CTE from the Research Group of Propagation, Electronic Control, and Networking (PROCONET) of Universidad de las Fuerzas Armadas ESPE. This work has been partially supported by VLIR-UOS project number EC2020SIN322A101.",,,"Alexander, I.; Department of Electrical, Ecuador; email: oaibarra@espe.edu.ec","Institute of Advanced Engineering and Science"
"Girau B., Torres-Huitzil C.","9245291700;6603495324;","Fault tolerance of self-organizing maps",2020,"Neural Computing and Applications","32","24",,"17977","17993",,1,"10.1007/s00521-018-3769-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054600587&doi=10.1007%2fs00521-018-3769-6&partnerID=40&md5=03bf64fadbd58a565f42417cbe54556b","Université de Lorraine, CNRS, LORIA, Nancy, 54000, France; Tecnológico de Monterrey, Campus Puebla, Puebla, Mexico","Girau, B., Université de Lorraine, CNRS, LORIA, Nancy, 54000, France; Torres-Huitzil, C., Tecnológico de Monterrey, Campus Puebla, Puebla, Mexico","Fault tolerance; FPGA; Hardware implementation; Self-organizing maps","Biomimetics; Conformal mapping; Field programmable gate arrays (FPGA); Self organizing maps; Bio-inspired approach; Bio-inspired computing; Distortion measures; Fault-tolerant computation; Graceful degradation; Hardware implementations; Parallel implementations; Self organizing maps(soms); Fault tolerance",,,,,"Torres-Huitzil, C.; Tecnológico de Monterrey, Campus Puebla, Mexico; email: torresc@itesm.mx","Springer Science and Business Media Deutschland GmbH"
"Rawat P.S., Gupta P., Dimri P., Saroha G.P.","57196931983;57221036108;56436598700;56632464800;","Power efficient resource provisioning for cloud infrastructure using bio-inspired artificial neural network model",2020,"Sustainable Computing: Informatics and Systems","28",, 100431,"","",,,"10.1016/j.suscom.2020.100431","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096660435&doi=10.1016%2fj.suscom.2020.100431&partnerID=40&md5=c119e54aefdd294f1c6110ffb67b4140","Uttarakhand Technical University, Dehradun, India; Manipal University Jaipur, India; Govind Balabh Pant Engineering College, Pauri Garhwal, India; Maharshi Dayanand University Rohtak, India","Rawat, P.S., Uttarakhand Technical University, Dehradun, India; Gupta, P., Manipal University Jaipur, India; Dimri, P., Govind Balabh Pant Engineering College, Pauri Garhwal, India; Saroha, G.P., Maharshi Dayanand University Rohtak, India","ACO; AFs; ANN; Big-Bang Big-Crunch; FCFS; LReLU; Power; Scheduling","Biomimetics; Electric power utilization; Genetic algorithms; Green computing; Supercomputers; Artificial neural network modeling; Cloud infrastructures; High performance computing; Real-time application; San diego supercomputer centers; Service oriented computing paradigm; Task-scheduling algorithms; Total completion time; Neural networks",,,,,"Gupta, P.; Manipal University JaipurIndia; email: punitg07@gmail.com","Elsevier Inc."
